관리번호,구분명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,설치연월,설치상세장소,구조용품명,담당부서명,담당부서전화번호,데이터기준일자,제공기관코드,제공기관명
광교저수지 수변-2,인명구조함,경기도,수원시,,경기도 수원시 장안구 하광교동 351,37.322600,127.011700,2016-01,광교저수지 수변,"구명부환22개, 구명줄22개, 구조 안내판 22개",경기도 수원시 맑은물생산과,031-5191-1714,2026-03-20,3740000,경기도 수원시
광교저수지 수변-1,인명구조함,경기도,수원시,,경기도 수원시 장안구 하광교동 351,37.322600,127.011700,2016-01,광교저수지 수변,"구명조끼6개, 구명줄 6개, 구명튜부 6개",경기도 수원시 맑은물생산과,031-5191-1714,2026-03-20,3740000,경기도 수원시
49,인명구조함,충청남도,천안시,충청남도 천안시 동남구 북면 위례성로 776,충청남도 천안시 동남구 북면 오곡리 411-6,36.831121,127.271731,2022-06,솔솔바람펜션 전면,인명구조함 및 구명조끼+구명환+구명로프,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
48,인명구조함,충청남도,천안시,충청남도 천안시 동남구 북면 위례성로 771,충청남도 천안시 동남구 북면 오곡리 411-3,36.830266,127.270913,2022-06,오곡리 야영장일원,인명구조함 및 구명조끼+구명환+구명로프,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
47,인명구조함,충청남도,천안시,충청남도 천안시 동남구 북면 위례성로 777-23,충청남도 천안시 동남구 북면 오곡리 414-6,36.829188,127.270256,2024-08,오곡리 야영장일원,인명구조함 및 구명조끼+구명환+구명로프,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
46,인명구조함,충청남도,천안시,충청남도 천안시 동남구 북면 위례성로 777-27,충청남도 천안시 동남구 북면 오곡리 414-3,36.828993,127.270215,2024-07,오곡리 야영장일원,인명구조함 및 구명조끼+구명환+구명로프,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
45,인명구조함,충청남도,천안시,충청남도 천안시 동남구 북면 위례성로 777-33,충청남도 천안시 동남구 북면 오곡리 420-1,36.827927,127.270184,2024-07,오곡리 야영장일원,인명구조함 및 구명조끼+구명환+구명로프,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
44,인명구조함,충청남도,천안시,충청남도 천안시 동남구 북면 위례성로 626,충청남도 천안시 동남구 북면 명덕리 68,36.819203,127.275436,2024-07,하천 내리막길,인명구조함 및 구명조끼+구명환+구명로프,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
43,인명구조함,충청남도,천안시,충청남도 천안시 동남구 북면 위례성로 516,충청남도 천안시 동남구 북면 매송리 839,36.809321,127.274806,2024-05,북면감리교회 맞은편,인명구조함 및 구명조끼+구명환+구명로프,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
42,인명구조함,충청남도,천안시,충청남도 천안시 동남구 북면 위례성로 204,충청남도 천안시 동남구 북면 용암리 318-2,36.787084,127.258650,2024-05,은석교 버스정류장 맞은편,인명구조함 및 구명조끼+구명환+구명로프,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
41,인명구조함,충청남도,천안시,충청남도 천안시 동남구 광덕면 신흥1길 147,충청남도 천안시 동남구 광덕면 신흥리309-39,36.700684,127.110524,2023-05,의용소방대,인명구조함 및 구명조끼+구명환+구명로프,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
40,인명구조함,충청남도,천안시,충청남도 천안시 동남구 광덕면 신흥1길 129,충청남도 천안시 동남구 광덕면 신흥리408-41,36.699513,127.108510,2023-05,채우리딸기농원,인명구조함 및 구명조끼+구명환+구명로프,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
39,인명구조함,충청남도,천안시,충청남도 천안시 동남구 광덕면 신흥1길75,충청남도 천안시 동남구 광덕면 신흥리360-8,36.697236,127.103924,2023-04,채우리딸기농원,인명구조함 및 구명조끼+구명환+구명로프,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
38,인명구조함,충청남도,천안시,충청남도 천안시 동남구 광덕면 광풍로693,충청남도 천안시 동남구 광덕면 대덕리116-11,36.697673,127.095801,2023-04,대덕교차로 인근,인명구조함 및 구명조끼+구명환+구명로프,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
37,인명구조함,충청남도,천안시,충청남도 천안시 동남구 광덕면 광풍로 703-9,충청남도 천안시 동남구 광덕면 대덕리 118-6,36.696151,127.091963,2023-04,광덕감리교회 맞은편,인명구조함 및 구명조끼+구명환+구명로프,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
36,인명구조함,충청남도,천안시,충청남도 천안시 동남구 광덕면 광풍로 703-60,충청남도 천안시 동남구 광덕면 대덕리121,36.694672,127.091220,2023-04,원가든 일원 하천길,인명구조함 및 구명조끼+구명환+구명로프,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
35,인명구조함,충청남도,천안시,충청남도 천안시 동남구 광덕면 광풍로 555,충청남도 천안시 동남구 광덕면 보산원리 223,36.687403,127.079822,2021-08,로터리 인근 내리막길,인명구조함 및 구명조끼+구명환+구명로프,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
34,위험표지판,충청남도,천안시,충청남도 천안시 동남구 광덕면 신흥1길 147,충청남도 천안시 동남구 신흥리 309-39,36.700684,127.110524,2024-07,의용소방대,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
33,위험표지판,충청남도,천안시,충청남도 천안시 동남구 광덕면 신흥1길 129,충청남도 천안시 동남구 신흥리 408-41,36.697236,127.114458,2022-06,채우리딸기농원,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
32,위험표지판,충청남도,천안시,충청남도 천안시 동남구 광덕면 신흥1길75,충청남도 천안시 동남구 광덕면 신흥리 360-8,36.697236,127.103924,2022-06,채우리딸기농원,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
31,위험표지판,충청남도,천안시,충청남도 천안시 동남구 광덕면 보산원로 14,충청남도 천안시 동남구 광덕면 보산원리 687-26,36.687615,127.078305,2022-06,풍서천 하천길,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
30,위험표지판,충청남도,천안시,충청남도 천안시 동남구 광덕면 보산원로 14,충청남도 천안시 동남구 광덕면 보산원리 687-26,36.687615,127.078305,2024-05,풍서천 하천길,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
29,위험표지판,충청남도,천안시,충청남도 천안시 동남구 광덕면 보산원로 14,충청남도 천안시 동남구 광덕면 보산원리 687-26,36.687615,127.078305,2024-05,풍서천 하천길,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
28,위험표지판,충청남도,천안시,충청남도 천안시 동남구 광덕면 보산원로 14,충청남도 천안시 동남구 광덕면 보산원리 687-26,36.687615,127.078305,2017-03,풍서천 하천길,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
27,위험표지판,충청남도,천안시,충청남도 천안시 동남구 광덕면 보산원로 14,충청남도 천안시 동남구 광덕면 보산원리 223-1,36.687337,127.080322,2017-03,풍서천 하천길,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
26,위험표지판,충청남도,천안시,충청남도 천안시 동남구 광덕면 성산1길 23,충청남도 천안시 동남구 광덕면 대덕리 121,36.694672,127.091220,2017-03,풍서천 하천길,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
가평군-60,위험표지판,경기도,가평군,,경기도 가평군 북면 적목리 산 198,37.991134,127.432028,1900-01,적목리 용소폭포,위험표지판,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-59,위험표지판,경기도,가평군,,경기도 가평군 가평읍 승안리 산 225,37.855482,127.481945,1900-01,용추계곡,위험표지판,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-58,위험표지판,경기도,가평군,,경기도 가평군 북면 화악리 1054-1,37.968910,127.524628,1900-01,넓은다락방 펜션,위험표지판,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-57,위험표지판,경기도,가평군,,경기도 가평군 북면 적목리 487,37.988629,127.439550,1900-01,토마토펜션 앞,위험표지판,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
서귀인명-28,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 표선면 토산리 30-2,33.30406768,126.7896714,2018-12,어항주차장 옆,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-27,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 표선면 표선리 9-3,33.32094073,126.8468581,2018-12,해안도로 아이리스 등대 입구,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-26,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 표선면 표선리 55-3,33.33139929,126.8419515,2018-12,표선 소금막해변 백사장 중앙,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-25,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 성산읍 고성리 62-4,33.42364352,126.9303278,2018-12,섭지코지 주차장 안쪽 끝,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-24,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 성산읍 고성리 62-3,33.42389682,126.9290133,2018-12,섭지코지 주차장 중간지점 해안측,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-23,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 성산읍 고성리 127-10,33.43163276,126.9253857,2018-12,섭지코지 진입로에서 주차장방면 100m,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-22,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 성산읍 고성리 127-7,33.4345174,126.9260243,2018-12,신양 질러리포구 입구(아쿠아플라넷 뒤편),,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-21,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 성산읍 고성리 186-1,33.43557193,126.9236251,2018-12,100주년 기념탐 동남측 10m,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-20,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 성산읍 고성리 224-1,33.44995765,126.9223494,2018-12,성산 광치기해안 입구 일출봉측 20m,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-19,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 성산읍 성산리 143-4,33.46092856,126.9336057,2018-12,수마포구 해안(성산레포츠 앞 10m),,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-18,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 성산읍 성산리 104-2,33.46283646,126.937531,2018-12,우뭇개 포구(해녀탈의장 앞 30m),,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-17,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 성산읍 오조리 398-12,33.47234129,126.9125946,2018-12,오조미야 앞,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-16,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 안덕면 감산리 1008,33.2366565,126.3592255,2019-12,대평항 서쪽 갯바위,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-15,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 안덕면 사계리 3579,33.23855835,126.318721,2018-12,산바다 ATV앞 해변 중앙,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-14,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 안덕면 사계리 2147-2,33.22777709,126.3034806,2021-12,카페 뷰스트 앞,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-13,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 안덕면 사계리 2294-35,33.22567731,126.300009,2018-12,사계바다횟집 서측 100m,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-12,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 안덕면 사계리 2294-35,33.22567731,126.300009,2018-12,사계출장소 앞 해변,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-11,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 대정읍 상모리 1-7,33.21331971,126.2929552,2012-01,사계 전경초소 동측 50m,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-10,인명구조함,제주특별자치도,서귀포시,제주특별자치도 서귀포시 대정읍 형제해안로 256,,33.21199513,126.2919435,2012-01,사계 송악산리조트 앞 해안(회양과 국수군),,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-9,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 대정읍 상모리 1670-2,33.19968386,126.2751034,2018-12,상모 해녀의 집(아로파 스쿠버숍),,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-8,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 대정읍 일과리 1293-1,33.23987695,126.2297333,2018-12,서림유원지 내 끝단,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-7,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 대정읍 영락리 2169-4,33.24585844,126.204348,2012-01,선셋코스트 스테이디앤디 사이 전주 근처,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-6,인명구조함,제주특별자치도,서귀포시,제주특별자치도 서귀포시 대정읍 노을해안로 312-1,,33.25046019,126.1982531,2018-12,대양영어조합법인 맞은편,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-5,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 대정읍 무릉리 2059,33.27277108,126.2162624,2018-12,마당돌 펜션 동측 300m 맞은편,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-4,인명구조함,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 대정읍 무릉리 4097-38,33.25365081,126.1940557,2012-01,무릉리 해안도로 대유영어조합법인 앞,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-3,인명구조함,제주특별자치도,서귀포시,제주특별자치도 서귀포시 대정읍 노을해안로 502,,33.26052318,126.182873,2018-12,무릉리 심해수산 맞은편,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-2,인명구조함,제주특별자치도,서귀포시,제주특별자치도 서귀포시 대정읍 노을해안로 524,,33.262401,126.182033,2018-12,신도리 (구)전경중대 서측 50m,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
서귀인명-1,인명구조함,제주특별자치도,서귀포시,제주특별자치도 서귀포시 대정읍 노을해안로 638-2,,33.27081983,126.1761668,2018-12,신도해안도로 돌핀펜트하우스 앞,,안전총괄과,,2026-01-27,6520000,제주특별자치도 서귀포시
가평군-23,인명구조함,경기도,가평군,,경기도 가평군 북면 목동리 1077,37.888745,127.551701,1900-01,배터,구명조끼+밧줄+구명튜브+드로우백,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-22,인명구조함,경기도,가평군,,경기도 가평군 북면 제령리 514-3,37.897791,127.524095,1900-01,월화수목펜션앞,구명조끼+밧줄+구명튜브+드로우백,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-21,인명구조함,경기도,가평군,,경기도 가평군 북면 백둔리 1115,37.899292,127.503345,1900-01,백둔교 아래,구명조끼+밧줄+구명튜브+드로우백,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-20,인명구조함,경기도,가평군,,경기도 가평군 북면 도대리 389,37.957058,127.472676,1900-01,도대리 용소폭포,구명조끼+밧줄+구명튜브+드로우백,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-19,인명구조함,경기도,가평군,,경기도 가평군 북면 도대리 198,37.926707,127.492162,1900-01,호수유원지민박,구명조끼+밧줄+구명튜브+드로우백,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-18,인명구조함,경기도,가평군,,경기도 가평군 조종면 운악리 221-7,37.886172,127.354288,1900-01,애기소,구명조끼+밧줄+구명튜브+드로우백,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-17,인명구조함,경기도,가평군,,경기도 가평군 조종면 신상리 113-5,37.845214,127.354735,1900-01,신상교 아래,구명조끼+밧줄+구명튜브+드로우백,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-16,인명구조함,경기도,가평군,,경기도 가평군 조종면 현리 567-1,37.823186,127.353370,1900-01,배터유원지,구명조끼+밧줄+구명튜브+드로우백,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-15,인명구조함,경기도,가평군,,경기도 가평군 조종면 신상리 257,37.853826,127.347831,1900-01,용수유원지,구명조끼+밧줄+구명튜브+드로우백,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-14,인명구조함,경기도,가평군,,경기도 가평군 상면 덕현리 181,37.759177,127.399584,1900-01,덕현교 아래(바우유원지),구명조끼+밧줄+구명튜브+드로우백,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-13,인명구조함,경기도,가평군,,경기도 가평군 상면 덕현리 산 74-1,37.754187,127.410633,1900-01,산장국민관광지,구명조끼+밧줄+구명튜브+드로우백,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-12,인명구조함,경기도,가평군,,경기도 가평군 상면 덕현리 639-3,37.774305,127.394275,1900-01,녹수계곡,구명조끼+밧줄+구명튜브+드로우백,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-11,인명구조함,경기도,가평군,,경기도 가평군 청평면 청평리 738,37.730835,127.416683,1900-01,청평교 아래,구명조끼+밧줄+구명튜브+드로우백,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-10,인명구조함,경기도,가평군,,경기도 가평군 청평면 대성리 586-12,37.680605,127.375037,1900-01,황새바위앞,구명조끼+밧줄+구명튜브+드로우백,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-9,인명구조함,경기도,가평군,,경기도 가평군 청평면 청평리 642-7,37.728542,127.408567,1900-01,청평대교 아래,구명조끼+밧줄+구명튜브+드로우백,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-7,인명구조함,경기도,가평군,,경기도 가평군 설악면 방일리 산106,37.612168,127.489104,1900-01,용소유원지,구명조끼+밧줄+구명튜브+드로우백,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-6,인명구조함,경기도,가평군,,경기도 가평군 설악면 가일리 350,37.597563,127.504299,1900-01,어비계곡(밤벌유원지),구명조끼+밧줄+구명튜브+드로우백,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-56,위험표지판,경기도,가평군,경기도 가평군 북면 제령아랫말길 70,,37.887963,127.538165,1900-01,중바위유원지,위험표지판,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-55,위험표지판,경기도,가평군,,경기도 가평군 북면 도대리 70-111,37.903610,127.501724,1900-01,연인산온천리조트,위험표지판,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-54,위험표지판,경기도,가평군,,경기도 가평군 북면 도대리 167-12,37.926315,127.493291,1900-01,다리유원지앞,위험표지판,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-53,위험표지판,경기도,가평군,,경기도 가평군 북면 목동리 1077,37.888745,127.551701,1900-01,배터,위험표지판,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-52,위험표지판,경기도,가평군,,경기도 가평군 북면 제령리 514-3,37.897791,127.524095,1900-01,월화수목펜션앞,위험표지판,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
가평군-51,위험표지판,경기도,가평군,,경기도 가평군 북면 백둔리 1115,37.899292,127.503345,1900-01,백둔교 아래,위험표지판,안전재난과,031-580-4948,2026-01-06,4160000,경기도 가평군
